hour,elevation_deg,zenith_deg,PAR_evoengine,air_mass,transmittance,PAR_horizontal_theoretical,geometry_factor,difference
6,6.965,83.035,432,7.762,0.239,57.963718188882495,7.452938036036103,374.03628181111753
7,18.799,71.201,838,3.078,0.466,300.33622926859914,2.7902061700673246,537.6637707314009
8,31.06,58.94,1080,1.933,0.573,591.2619865561433,1.8266014466625087,488.73801344385674
9,43.564,46.436,1233,1.449,0.632,871.1037978588197,1.4154455565808852,361.8962021411803
10,56.109,33.891,1291,1.204,0.667,1107.3532469261525,1.165842971593413,183.64675307384755
11,68.305,21.695,1255,1.076,0.687,1276.6724825861077,0.9830242424100765,-21.672482586107662
12,78.407,11.593,1133,1.02,0.697,1365.562133175893,0.829694945747344,-232.562133175893
13,77.953,12.047,941,1.022,0.696,1361.3435952255586,0.6912288736658635,-420.3435952255586
14,67.58,22.42,725,1.081,0.687,1270.143405162384,0.570801688260792,-545.1434051623839
15,55.341,34.659,543,1.215,0.666,1095.6381962496694,0.4956015606782145,-552.6381962496694
16,42.792,47.208,435,1.47,0.629,854.608272825953,0.5090051358402785,-419.608272825953
17,30.301,59.699,532,1.976,0.568,573.1604990586056,0.9281867834119585,-41.16049905860564
18,18.063,71.937,560,3.197,0.456,282.7770443387321,1.9803587710224064,277.2229556612679
19,6.267,83.733,344,8.516,0.218,47.59455025371007,7.227718261150806,296.40544974628995
