datetime_analytical,elevation_deg,azimuth_deg,zenith_deg,hour,I0_W_m2,I_direct_W_m2,I_diffuse_W_m2,I_leaf_W_m2,PAR_umol_m2_s,method,datetime_azmet,PAR_azmet_measured,solar_rad_MJ_m2,temp_air_C,RH_fraction,VPD_kPa,PAR_difference,PAR_ratio
2024-06-13 06:00:00-07:00,6.965465928853139,66.73091439350856,83.03453407114687,6,160.56265485215673,18.908576759395526,3.3368076634227397,8.806484974319964,18.229423896842327,analytical,2024-06-13 06:00:00,30.46666666666667,0.05,26.3,0.21,2.70388165525292,-12.237242769824341,0.5983399528504045
2024-06-13 07:00:00-07:00,18.798870421298425,73.97608017711491,71.20112957870157,7,426.6543901191603,182.67534200931513,32.236825060467375,104.92509582198741,217.19494835151394,analytical,2024-06-13 07:00:00,164.52,0.27,25.3,0.27,2.354894974271245,52.67494835151393,1.320173525112533
2024-06-13 08:00:00-07:00,31.06038661396787,80.91679885578287,58.93961338603213,8,683.1050542696911,400.98582486567864,70.76220438806094,272.3032503239949,563.6677281706694,analytical,2024-06-13 08:00:00,633.7066666666668,1.04,28.4,0.2,3.0961044280276058,-70.0389384959974,0.8894773525669121
2024-06-13 09:00:00-07:00,43.56353834601296,88.22162499049227,46.43646165398704,9,912.4444765097355,612.0043976957304,108.00077606395243,472.9090945894138,978.9218258000866,analytical,2024-06-13 09:00:00,1035.8666666666668,1.7,32.2,0.17,3.992592117298303,-56.94484086658019,0.9450268623375787
2024-06-13 10:00:00-07:00,56.1089162372217,97.13327439144183,33.8910837627783,10,1099.0494160981668,788.7508319301662,139.19132328179404,669.5819678798739,1386.034673511339,analytical,2024-06-13 10:00:00,1401.466666666667,2.3,35.1,0.16,4.750774589875623,-15.431993155327973,0.9889886834111921
2024-06-13 11:00:00-07:00,68.30452944103804,111.20394954977212,21.695470558961958,11,1230.2082593554655,914.6011319975817,161.4001997642791,825.4034385643405,1708.5851178281848,analytical,2024-06-13 11:00:00,1249.133333333333,2.05,37.0,0.13,5.460876591969441,459.45178449485184,1.3678164469991343
2024-06-13 12:00:00-07:00,78.40685362980874,145.95158526426218,11.593146370191263,12,1296.987398555294,979.0492295247083,172.77339344553675,910.2736449543022,1884.2664450554055,analytical,2024-06-13 12:00:00,633.7066666666668,1.04,36.8,0.15,5.277492019479963,1250.5597783887388,2.9734048009416636
2024-06-13 13:00:00-07:00,77.95320759037438,217.5751618475221,12.046792409625624,13,1294.8401145360558,976.9736511539728,172.40711490952464,907.5064072810584,1878.5382630717907,analytical,2024-06-13 13:00:00,457.0,0.75,36.5,0.17,5.069581486132407,1421.5382630717907,4.110587008909826
2024-06-13 14:00:00-07:00,67.5795023361223,249.9920684603183,22.420497663877697,14,1223.91641934892,908.5405299020501,160.3306817474206,817.6531332374066,1692.5419858014316,analytical,2024-06-13 14:00:00,1803.6266666666663,2.96,38.7,0.12,6.056079578606671,-111.08468086523476,0.9384103800868427
2024-06-13 15:00:00-07:00,55.340743907555975,263.5247569266506,34.659256092444025,15,1089.0526845260852,779.205565710464,137.50686453714073,658.3744496241151,1362.8351107219182,analytical,2024-06-13 15:00:00,1261.3199999999997,2.07,39.0,0.12,6.154507543975298,101.51511072191852,1.0804832324246967
2024-06-13 16:00:00-07:00,42.79191574951405,272.2767661422379,47.20808425048595,16,899.4417738970228,599.8221350262744,105.85096500463665,460.39304250742606,953.0135979903719,analytical,2024-06-13 16:00:00,974.9333333333334,1.6,38.6,0.15,5.818225259263373,-21.91973534296153,0.9775166828402336
2024-06-13 17:00:00-07:00,30.300638207179762,279.5341084528924,59.69936179282024,17,668.006241799642,387.46167180461816,68.37558914199144,260.7985301258762,539.8529573605637,analytical,2024-06-13 17:00:00,871.3466666666667,1.43,39.8,0.1,6.569772334996705,-331.493709306103,0.6195616257141019
2024-06-13 18:00:00-07:00,18.06278243268041,286.4784081325201,71.93721756731959,18,410.5173799124427,170.11310479582875,30.01995966985213,96.62519661339513,200.0141569897279,analytical,2024-06-13 18:00:00,353.41333333333336,0.58,38.1,0.14,5.730046142480809,-153.39917634360546,0.5659496632547194
2024-06-13 19:00:00-07:00,6.266577246912274,293.7617139404825,83.73342275308772,19,144.52029862512072,13.82698362031776,2.4400559329972515,6.35271018517189,13.150110083305812,analytical,2024-06-13 19:00:00,109.68,0.18,37.0,0.13,5.460876591969441,-96.5298899166942,0.11989524145975393
2024-06-13 20:00:00-07:00,-4.846570281425843,301.9067651356023,94.84657028142584,20,0.0,0.0,0.0,0.0,0.0,analytical,2024-06-13 20:00:00,0.0,0.03,36.2,0.13,5.227367296893188,0.0,
