datetime_analytical,elevation_deg,azimuth_deg,zenith_deg,hour,I0_W_m2,I_direct_W_m2,I_diffuse_W_m2,I_leaf_W_m2,PAR_umol_m2_s,method,datetime_azmet,PAR_azmet_measured,solar_rad_MJ_m2,temp_air_C,RH_fraction,VPD_kPa,PAR_difference,PAR_ratio
2024-06-12 06:00:00-07:00,6.976638898617662,66.80289132997524,83.02336110138233,6,160.85097112948682,19.000085039703993,3.3529561834771755,8.841314938439256,18.301521922569258,analytical,2024-06-12 06:00:00,54.84,0.09,21.4,0.25,1.9122038748359855,-36.538478077430746,0.3337257826872585
2024-06-12 07:00:00-07:00,18.815543803813686,74.05019913849122,71.18445619618632,7,427.1041807869482,182.99801437448747,32.29376724255661,105.04401280105421,217.44110649818222,analytical,2024-06-12 07:00:00,353.41333333333336,0.58,23.2,0.24,2.161845848073802,-135.97222683515113,0.6152600538505872
2024-06-12 08:00:00-07:00,31.080846760903384,80.9972940066121,58.919153239096616,8,683.6461884407511,401.42931342549394,70.84046707508716,272.4664086192274,564.0054658418007,analytical,2024-06-12 08:00:00,786.04,1.29,25.9,0.31,2.306472931408334,-222.03453415819922,0.7175276905015022
2024-06-12 09:00:00-07:00,43.58590940563053,88.31568397276766,46.41409059436947,9,913.00084959452,612.4775844072229,108.08427960127464,473.0582346114249,979.2305456456494,analytical,2024-06-12 09:00:00,1236.9466666666665,2.03,30.8,0.19,3.598947841889784,-257.7161210210171,0.7916513880784266
2024-06-12 10:00:00-07:00,56.130325098117815,97.2556975115865,33.869674901882185,10,1099.5442112262863,789.1714559264291,139.26555104584043,669.6304329930217,1386.1349962955549,analytical,2024-06-12 10:00:00,1620.8266666666668,2.66,33.4,0.14,4.425385339909483,-234.69167037111197,0.855202486979209
2024-06-12 11:00:00-07:00,68.3180992505358,111.39343440478086,21.681900749464205,11,1230.5692510135343,914.8950080509637,161.4520602442877,825.2536659788489,1708.275088576217,analytical,2024-06-12 11:00:00,1931.5866666666664,3.17,35.7,0.1,5.261234946604608,-223.3115780904493,0.8843895632828024
2024-06-12 12:00:00-07:00,78.38666454376497,146.29070640320663,11.613335456235035,12,1297.1519321479398,979.1535531634685,172.79180349943562,909.8453606627481,1883.3798965718886,analytical,2024-06-12 12:00:00,2132.6666666666665,3.5,37.6,0.07,6.0309825855575925,-249.28677009477792,0.8831102984863498
2024-06-12 13:00:00-07:00,77.88320370943745,217.629990049355,12.116796290562547,13,1294.7594181216828,976.8409557662569,172.38369807639828,906.7641870847501,1877.0018672654326,analytical,2024-06-12 13:00:00,2193.6000000000004,3.6,39.2,0.07,6.574352214139072,-316.5981327345678,0.8556718942676114
2024-06-12 14:00:00-07:00,67.51138898796465,249.9420361602614,22.48861101203535,14,1223.558950467798,908.1424420269733,160.26043094593646,816.6245814534842,1690.4128836087123,analytical,2024-06-12 14:00:00,2126.5733333333333,3.49,40.0,0.06,6.935346940142856,-436.160449724621,0.7948998781805686
2024-06-12 15:00:00-07:00,55.27511360376949,263.47928673275584,34.72488639623051,15,1088.4062821545413,778.5367740995023,137.38884248814745,657.1536048644989,1360.3079620695128,analytical,2024-06-12 15:00:00,1925.493333333333,3.16,41.2,0.06,7.391347671746359,-565.1853712638203,0.7064724341136018
2024-06-12 16:00:00-07:00,42.726711486005506,272.240778587627,47.273288513994494,16,898.5144686611878,598.905915788449,105.6892792567851,459.12755432429606,950.3940374512928,analytical,2024-06-12 16:00:00,1614.7333333333331,2.65,42.2,0.05,7.873796406117433,-664.3392958820403,0.5885764651240408
2024-06-12 17:00:00-07:00,30.23483052044856,279.50594050130474,59.76516947955144,17,666.8256705967035,386.36501759458463,68.18206192845611,259.66605687155993,537.5087377241291,analytical,2024-06-12 17:00:00,1212.5733333333335,1.99,42.2,0.06,7.790914338684618,-675.0645956092044,0.4432793654191051
2024-06-12 18:00:00-07:00,17.995882527094356,286.456860832236,72.00411747290565,18,409.1288477133557,169.01257945542625,29.825749315663458,95.81725641610606,198.34172078133955,analytical,2024-06-12 18:00:00,767.76,1.26,41.8,0.06,7.628904380623655,-569.4182792186605,0.2583381796151656
2024-06-12 19:00:00-07:00,6.198442740751145,293.7465865084522,83.80155725924885,19,142.98362371295326,13.37785517952476,2.36079797285731,6.131406479667493,12.692011412911711,analytical,2024-06-12 19:00:00,335.1333333333333,0.55,40.4,0.07,7.009197912259309,-322.4413219204216,0.037871527987602085
2024-06-12 20:00:00-07:00,-4.915716091782888,301.8989584062059,94.91571609178288,20,0.0,0.0,0.0,0.0,0.0,analytical,2024-06-12 20:00:00,0.0,0.06,36.7,0.09,5.619274334339186,0.0,
